,anime_id,male_fan,female_fan
1506,3901,10,16
1507,39026,10,1
1508,39071,13,5
1509,39195,50,20
1510,39196,4,2
1511,39198,59,6
1512,392,758,205
1513,3927,64,14
1514,393,7,9
1515,39324,5,6
1516,39468,5,6
1517,395,14,2
1518,39533,16,46
1519,3958,13,4
1520,39587,7,1
1521,39617,3,2
1522,3972,40,17
1523,3974,13,8
1524,400,165,30
1525,40028,4,3
1526,40080,2,2
1527,401,23,6
1528,4038,3,3
1529,4039,13,2
1530,404,5,2
1531,405,9,10
1532,40542,1,4
1533,4059,27,3
1534,4063,68,4
1535,407,9,12
1536,408,1,2
1537,4080,7,11
1538,4081,305,575
1539,4087,40,63
1540,4094,1,1
1541,4106,4,4
1542,411,17,11
1543,413,12,1
1544,4147,1,3
1545,415,2,6
1546,4151,1,2
1547,4155,3,7
1548,416,66,9
1549,4177,56,11
1550,4181,3431,679
1551,4182,5,4
1552,4186,40,6
1553,419,6,2
1554,4192,38,2
1555,4214,28,3
1556,4224,1917,474
1557,424,20,1
1558,4246,5,2
1559,427,50,48
1560,4280,14,2
1561,4282,275,36
1562,43,557,58
1563,430,12,10
1564,4304,2,2
1565,431,157,398
1566,433,28,7
1567,4334,2,2
1568,435,13,17
1569,437,395,103
1570,4382,88,18
1571,44,465,95
1572,440,289,266
1573,441,14,20
1574,4437,4,1
1575,444,1,3
1576,447,2,8
1577,4472,2,1
1578,4477,12,11
1579,4483,5,1
1580,45,431,177
1581,452,2,4
1582,4535,7,16
1583,4548,4,3
1584,455,36,17
1585,4550,5,1
1586,4551,2,28
1587,456,2,2
1588,4565,36,4
1589,457,1235,473
1590,4581,1,4
1591,46,2,1
1592,4618,4,3
1593,4654,176,23
1594,4657,1,1
1595,467,552,64
1596,468,51,3
1597,469,14,21
1598,4690,1,1
1599,47,317,66
1600,470,2,1
1601,471,1,3
1602,4722,49,249
1603,4725,71,31
1604,4726,2,1
1605,474,37,6
1606,4752,6,103
1607,476,2,4
1608,477,131,32
1609,478,7,4
1610,4789,113,39
1611,479,42,9
1612,48,54,18
1613,481,86,62
1614,4814,2,33
1615,482,33,8
1616,4835,8,4
1617,486,395,125
1618,4866,18,3
1619,4879,9,10
1620,488,57,13
1621,4884,16,20
1622,489,20,6
1623,4896,43,61
1624,4898,137,679
1625,49,16,5
1626,490,19,5
1627,4901,47,7
1628,4903,1,2
1629,4938,4,7
1630,495,4,1
1631,497,3,5
1632,4975,33,7
1633,4981,103,20
1634,4985,13,3
1635,4999,5,1
1636,5,36,11
1637,50,69,13
1638,5028,26,4
1639,5030,15,5
1640,5039,15,11
1641,5040,143,42
1642,5041,2,4
1643,5042,35,3
1644,506,2,3
1645,5060,25,228
1646,5065,1,2
1647,507,1,8
1648,5074,14,4
1649,5079,18,8
1650,508,1,4
1651,5081,1554,179
1652,5084,4,2
1653,5097,2,4
1654,51,1,6
1655,5114,5035,2052
1656,5118,11,3
1657,512,127,70
1658,513,126,33
1659,514,22,19
1660,516,60,22
1661,5163,5,1
1662,5177,58,9
1663,52,14,11
1664,5204,7,4
1665,5205,147,27
1666,521,2,23
1667,522,20,6
1668,5226,1,2
1669,523,157,95
1670,5231,41,26
1671,525,4,4
1672,5258,45,1
1673,5262,2,28
1674,527,102,54
1675,5277,19,2
1676,528,10,6
1677,529,30,11
1678,53,25,3
1679,530,104,301
1680,5300,37,31
1681,5310,4,2
1682,532,9,38
1683,5337,4,1
1684,534,61,37
1685,5341,191,11
1686,5342,2,6
1687,535,20,22
1688,5355,10,35
1689,5356,21,23
1690,5365,44,10
1691,539,61,7
1692,5391,11,3
1693,540,8,2
1694,5420,90,53
1695,543,68,20
1696,548,1,2
1697,5494,3,2
1698,550,12,11
1699,5507,41,8
1700,552,142,66
1701,5525,24,89
1702,553,3,25
1703,5530,66,147
1704,554,1,2
1705,558,11,3
1706,5593,2,9
1707,5597,5,2
1708,560,3,1
1709,563,1,2
1710,5630,161,120
1711,567,58,12
1712,5671,34,13
1713,5678,43,77
1714,568,6,2
1715,5680,563,219
1716,5681,171,42
1717,5682,240,54
1718,5684,4,4
1719,569,43,9
1720,5690,26,24
1721,57,386,68
1722,570,84,8
1723,5712,1,1
1724,572,135,31
1725,576,1,1
1726,5774,2,2
1727,578,200,74
1728,58,25,9
1729,5835,4,47
1730,584,37,31
1731,585,102,87
1732,587,25,8
1733,5877,2,1
1734,589,26,23
1735,59,123,67
1736,5902,2,1
1737,5909,32,2
1738,591,5,1
1739,593,20,3
1740,594,1,4
1741,5941,224,47
1742,5958,166,13
1743,5959,4,2
1744,5962,1,2
1745,597,12,15
1746,5973,2,1
1747,598,1,2
1748,5984,3,5
1749,6,609,179
1750,60,60,62
1751,601,22,19
1752,603,4,12
1753,6030,22,5
1754,6033,75,10
1755,604,3,7
1756,6045,203,306
1757,6046,5,2
1758,605,1,6
1759,6064,5,1
1760,6069,3,2
1761,6094,1,2
1762,61,31,42
1763,6114,338,78
1764,6116,2,3
1765,615,2,1
1766,6163,2,3
1767,6164,18,9
1768,6166,16,2
1769,617,75,7
1770,6171,20,10
1771,6172,3,2
1772,618,8,1
1773,620,2,3
1774,6201,6,2
1775,6203,6,3
1776,6205,17,4
1777,621,5,6
1778,6211,67,42
1779,6213,137,40
1780,627,60,12
1781,6288,13,2
1782,63,9,4
1783,6324,24,1
1784,6325,3,3
1785,633,1,11
1786,6336,107,3
1787,634,66,16
1788,6347,208,63
1789,635,5,3
1790,6361,2,2
1791,6381,15,3
1792,64,48,51
1793,6408,4,4
1794,6444,9,31
1795,65,10,6
1796,650,20,3
1797,6500,17,9
1798,6505,9,13
1799,6512,30,4
1800,6547,1616,422
1801,6560,5,2
1802,6573,51,18
1803,6574,9,3
1804,658,48,9
1805,6586,7,59
1806,6594,518,82
1807,66,290,93
1808,6610,1,5
1809,6624,3,1
1810,6634,5,2
1811,666,19,12
1812,667,6,5
1813,6675,232,20
1814,6676,4,2
1815,6682,6,5
1816,67,50,23
1817,6702,727,600
1818,6707,21,66
1819,6746,747,698
1820,6747,19,4
1821,6758,6,1
1822,6768,2,1
1823,6773,47,16
1824,6774,73,32
1825,6793,2,3
1826,68,43,45
1827,6802,90,21
1828,6811,49,46
1829,6864,7,8
1830,687,4,59
1831,688,6,2
1832,6880,108,91
1833,6895,9,99
1834,690,11,6
1835,691,3,4
1836,6922,31,2
1837,694,2,3
1838,6954,7,2
1839,6956,83,39
1840,696,33,6
1841,6973,3,1
1842,6974,8,10
1843,7,18,24
1844,7053,4,2
1845,7054,202,472
1846,7058,5,27
1847,7059,17,16
1848,7062,18,1
1849,7079,1,2
1850,7088,36,4
1851,71,217,76
1852,710,9,1
1853,713,2,2
1854,7152,1,2
1855,719,6,25
1856,7193,78,36
1857,72,159,55
1858,721,173,280
1859,7222,6,2
1860,7295,1,3
1861,73,115,25
1862,731,19,13
1863,7311,723,68
1864,732,17,4
1865,7338,17,16
1866,738,5,3
1867,74,9,67
1868,740,8,9
1869,746,3,3
1870,7465,45,10
1871,7472,4,3
1872,75,9,5
1873,750,4,1
1874,7588,33,19
1875,759,83,23
1876,7590,3,1
1877,7592,17,24
1878,7593,32,3
1879,76,25,16
1880,7627,28,11
1881,763,9,2
1882,764,12,7
1883,7645,20,16
1884,7647,63,35
1885,7661,23,6
1886,7662,8,13
1887,7674,421,100
1888,77,61,16
1889,7705,1,4
1890,7711,15,26
1891,7720,4,10
1892,7724,287,199
1893,7748,13,2
1894,7768,16,5
1895,7769,6,8
1896,777,607,174
1897,7785,1025,142
1898,7791,535,124
1899,7817,34,25
1900,785,6,2
1901,789,2,4
1902,79,94,17
1903,790,502,169
1904,7902,2,3
1905,795,26,28
1906,80,138,16
1907,800,11,2
1908,801,253,25
1909,8063,1,4
1910,807,1,2
1911,8074,283,75
1912,8086,90,27
1913,81,86,9
1914,8100,12,3
1915,812,2,5
1916,8129,23,187
1917,813,997,130
1918,8142,41,26
1919,819,4,4
1920,82,85,9
1921,820,1160,123
1922,8217,2,4
1923,823,2,2
1924,831,4,6
1925,8310,8,7
1926,8311,4,8
1927,834,1,2
1928,838,2,3
1929,8407,38,3
1930,8425,290,107
1931,8426,56,29
1932,845,18,9
1933,8460,51,31
1934,8476,2,17
1935,849,833,256
1936,85,155,13
1937,850,8,7
1938,851,18,5
1939,8516,43,12
1940,8525,265,47
1941,853,285,1280
1942,8536,8,2
1943,855,35,37
1944,8557,67,17
1945,856,48,22
1946,857,124,23
1947,859,3,7
1948,86,8,2
1949,861,99,123
1950,8630,21,11
1951,8634,1,6
1952,8666,3,2
1953,8675,127,17
1954,8676,101,3
1955,8687,2,3
1956,87,19,1
1957,870,10,2
1958,872,4,3
1959,8726,27,4
1960,873,8,1
1961,874,65,17
1962,875,75,3
1963,876,4,1
1964,8768,1,3
1965,8769,191,45
1966,877,311,553
1967,879,14,29
1968,8795,155,110
1969,88,7,1
1970,8841,116,17
1971,885,129,20
1972,8861,82,14
1973,8888,11,7
1974,889,673,158
1975,890,25,3
1976,8915,10,18
1977,8917,9,1
1978,8934,23,15
1979,8937,49,11
1980,8995,1,2
1981,90,105,56
1982,9000,5,5
1983,9041,66,1
1984,9055,11,1
1985,9062,5,2
1986,9065,7,20
1987,9074,7,9
1988,9107,7,3
1989,9130,7,6
1990,9135,6,1
1991,915,9,2
1992,918,1544,684
1993,9181,21,2
1994,9201,10,1
1995,9204,6,5
1996,9205,2,1
1997,9213,4,2
1998,9253,5590,876
1999,9260,60,7
2000,9289,129,39
2001,93,168,79
2002,930,13,6
2003,9314,5,7
2004,933,2,5
2005,9330,3,2
2006,9331,6,5
2007,934,832,368
2008,935,35,12
2009,9367,45,6
2010,9379,46,11
2011,94,28,24
2012,940,6,3
2013,9479,5,11
2014,949,191,22
2015,95,54,4
2016,951,1,8
2017,9513,120,48
2018,953,10,8
2019,9539,6,4
2020,957,8,93
2021,959,2,1
2022,96,54,6
2023,9617,59,9
2024,962,71,20
2025,9624,4,2
2026,9656,17,29
2027,966,52,16
2028,967,150,10
2029,969,1,11
2030,97,113,17
2031,9736,1,2
2032,974,17,3
2033,975,9,5
2034,9750,6,2
2035,9751,6,1
2036,9756,1707,883
2037,9760,8,14
2038,9776,7,2
2039,9790,5,2
2040,98,36,58
2041,9806,1,2
2042,9834,11,13
2043,985,2,2
2044,986,2,3
2045,9863,117,52
2046,9893,4,3
2047,99,13,10
2048,990,3,5
2049,9919,187,300
2050,9922,3,5
2051,9926,15,141
2052,9936,4,1
2053,9938,3,8
2054,9941,60,109
2055,996,15,43
2056,9969,165,73
2057,998,10,8
2058,9981,6,3
2059,9982,3,5
2060,9989,989,333
2061,9996,29,2
