,animeID,name,title_english,type,source,genre,episodes,score,scored_by,rating,male_fan,female_fan,fan_base
7299,16780.0,Gongnyong Baengmannyeon Ttori,One Million Year Dinosaur Dddli,Movie,Original,"Action, Adventure, Shounen",1.0,4.58,19.0,4.6652239544994325,0.0,0.0,0.0
7300,16782.0,Kotonoha no Niwa,The Garden of Words,Movie,Original,"Slice of Life, Psychological, Drama, Romance",1.0,8.23,208962.0,8.229990689639266,214.0,66.0,148.0
7301,16784.0,Marin X,,Movie,Original,"Action, Adventure, Mecha, Sci-Fi, Shounen",1.0,5.0,25.0,5.04940304192264,0.0,0.0,0.0
7302,16786.0,Bulsajo Robot Phoenix King,Defenders of Space,Movie,Original,"Action, Space, Mecha, Shounen",1.0,4.19,111.0,4.208700706160613,0.0,0.0,0.0
7303,16788.0,Sengoku Bushou Retsuden Bakufuu Douji Hissatsuman,,OVA,Original,"Action, Adventure, Mecha",3.0,5.5,22.0,5.534107786521246,0.0,0.0,0.0
7304,16790.0,Super Samchongsa,,Movie,Original,"Action, Space, Mecha, Shounen",1.0,5.04,23.0,5.091853295416194,0.0,0.0,0.0
7305,16794.0,Computer Haekjeonham Pokpa Daejakjeon,Savior Of The Earth,Movie,Original,"Action, Sci-Fi, Shounen",1.0,4.44,100.0,4.458262169207809,0.0,0.0,0.0
7306,16796.0,Mujeokcheorin Rambot,,Movie,Original,"Action, Mecha, Shounen, Space",1.0,3.7,23.0,3.8076866287495275,0.0,0.0,0.0
7307,16798.0,Ttori wa Zeta Robot,,Movie,Original,"Action, Adventure, Kids, Mecha",1.0,5.85,87.0,5.854937262386234,0.0,0.0,0.0
7308,16800.0,Miraesonyeon Kunta Beomyuda 5000 Nyeon,,Movie,Original,"Action, Adventure, Mecha, Shounen",1.0,4.35,20.0,4.442118051904221,0.0,0.0,0.0
7309,16802.0,Golden Batman,,Movie,Original,"Action, Kids",1.0,4.13,197.0,4.140881207525195,0.0,0.0,0.0
7310,16804.0,Solar I.II.III,,Movie,Original,"Action, Mecha, Shounen",1.0,5.39,31.0,5.417952471562145,0.0,0.0,0.0
7311,16806.0,Super Titans 15,,Movie,Original,"Action, Mecha, Shounen",1.0,4.72,29.0,4.772149302999622,0.0,0.0,0.0
7312,16808.0,Hwanggeum Cheolin,The Golden Iron Man,Movie,Original,"Action, Kids, Adventure, Super Power, Demons",1.0,4.78,52.0,4.808386397924314,0.0,0.0,0.0
7313,16810.0,Narara Wondeogongju,,Movie,Original,"Action, Adventure, Sci-Fi, Space, Super Power",1.0,3.64,22.0,3.754977351738637,0.0,0.0,0.0
7314,16812.0,77Danui Bimil,,Movie,Original,"Action, Drama",1.0,4.84,76.0,4.858759468701151,0.0,0.0,0.0
7315,16814.0,Son O-gong gwa Byeoldeul-ui Jeonjaeng,,Movie,Original,"Action, Adventure, Space",1.0,3.67,30.0,3.7543380351609246,0.0,0.0,0.0
7316,16816.0,David gwa Goliath,,Movie,Original,"Adventure, Historical, Kids",1.0,5.04,25.0,5.0878645803841795,0.0,0.0,0.0
7317,16818.0,Eunhahamdae Jiguho,,Movie,Original,"Action, Kids, Adventure, Space, Sci-Fi",1.0,4.86,21.0,4.924749049544939,0.0,0.0,0.0
7318,16820.0,Lightning Atom,,Movie,Original,"Action, Kids, Super Power",1.0,5.42,19.0,5.4632239544994325,0.0,0.0,0.0
7319,16822.0,Uju Heukgisa,Captain of Cosmos,Movie,Original,"Action, Sci-Fi, Space",1.0,3.42,240.0,3.4318858053526498,2.0,0.0,2.0
7320,16824.0,Hwang-geum-ui Pal,,Movie,Original,"Sports, Shounen",1.0,4.33,18.0,4.432867320525718,0.0,0.0,0.0
7321,16828.0,Hokseong Robot Sseondeo A,,Movie,Original,"Action, Mecha, Shounen",1.0,4.08,26.0,4.161647373703284,0.0,0.0,0.0
7322,16830.0,Uju Jeonsa Hong Gildong,,Movie,Original,"Action, Kids, Adventure, Space, Sci-Fi",1.0,5.08,24.0,5.128179163599547,0.0,0.0,0.0
7323,16832.0,Video Ranger 007,,Movie,Original,"Action, Adventure, Mecha",1.0,5.0,20.0,5.061165670951841,0.0,0.0,0.0
7324,16834.0,Mecha Robot Corps 3,,Movie,Original,"Action, Adventure, Mecha, Shounen",1.0,4.24,25.0,4.31863381115341,0.0,0.0,0.0
7325,16838.0,Gaegujang-i Cheonsadeul,,Movie,Original,"Kids, Adventure",1.0,5.55,22.0,5.581933873477768,0.0,0.0,0.0
7326,16866.0,Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,,OVA,Manga,"Comedy, Historical, Romance, Shoujo",1.0,7.23,32431.0,7.2299708460498895,0.0,0.0,0.0
7327,16868.0,Sukitte Ii na yo.: Dareka ga,,OVA,Manga,"Romance, School, Shoujo",1.0,7.35,20416.0,7.349947812072781,2.0,0.0,2.0
7328,16870.0,The Last: Naruto the Movie,The Last: Naruto the Movie,Movie,Manga,"Action, Super Power, Romance, Martial Arts, Shounen",1.0,7.88,115552.0,7.879986192302146,13.0,0.0,13.0
7329,16890.0,Makai Ouji: Devils and Realist,Devils and Realist,TV,Manga,"Mystery, Comedy, Historical, Demons, Supernatural, Fantasy, School, Josei",12.0,7.16,29854.0,7.159970674228437,4.0,11.0,-7.0
7330,16894.0,Kuroko no Basket 2nd Season,Kuroko's Basketball 2,TV,Manga,"Comedy, Sports, School, Shounen",25.0,8.46,247076.0,8.459991194967925,89.0,85.0,4.0
7331,16904.0,K: Missing Kings,K: Missing Kings,Movie,Original,"Action, Super Power, Supernatural",1.0,7.84,73264.0,7.839978768567392,6.0,1.0,5.0
7332,16906.0,Line Offline: Salaryman,,TV,Original,Comedy,114.0,6.73,371.0,6.728802363145131,1.0,0.0,1.0
7333,16908.0,Ganbare! Oden-kun,The Adventure of Oden-kun,TV,Picture book,Comedy,102.0,5.88,17.0,5.902471060554925,0.0,0.0,0.0
7334,16910.0,Namiuchigiwa no Muromi-san,Muromi-san,TV,Manga,"Slice of Life, Comedy, Fantasy, Shounen",13.0,7.02,14243.0,7.019948362755545,2.0,0.0,2.0
7335,16912.0,gdgd Fairies 2 Episode 0,,Special,Original,"Comedy, Fantasy",1.0,6.01,143.0,6.011906104791588,0.0,0.0,0.0
